question,type,ref,label,dimension,weight
q18,single,option:1,We split it by what each of us is better placed to handle,adaptive,1
q18,single,option:1,We split it by what each of us is better placed to handle,structured,1
q18,single,option:2,We talk everything through together,collaborative,2
q18,single,option:3,We each manage our own money separately,intuitive,1
q18,single,option:3,We each manage our own money separately,freedom,1
q19,single,option:0,Regular check-ins about money,collaborative,1
q19,single,option:0,Regular check-ins about money,structured,1
q19,single,option:1,Being more open about spending,connection,2
q19,single,option:2,Agreeing in advance on big purchases,security,1
q19,single,option:2,Agreeing in advance on big purchases,structured,1
q19,single,option:3,Working toward a shared goal together,connection,1
q19,single,option:3,Working toward a shared goal together,growth,1
q19,single,option:4,"More spontaneity, together",experiences,1
q19,single,option:4,"More spontaneity, together",adaptive,1
q20,multi,option:0,Security,security,2
q20,multi,option:1,Freedom,freedom,2
q20,multi,option:2,Growth,growth,2
q20,multi,option:3,Experiences,experiences,2
q20,multi,option:4,Connection,connection,2
q20,multi,option:5,Purpose,purpose,2
q20,multi,option:6,Legacy,legacy,2
q20,multi,option:7,Balance,balance,2
q21,single,option:0,One where we never have to worry about the basics,security,2
q21,single,option:1,One where we have real choices about how we live,freedom,2
q21,single,option:2,One where our money keeps working long after we've stopped,legacy,2
q21,single,option:3,One full of shared experiences and memories,experiences,2
q21,single,option:4,One where family always comes first,connection,2
q21,single,option:5,One where we've made a difference in something bigger than us,purpose,2
